Length,Width,Height
102.67,49.53,19.69
102.5,51.42,19.63
95.37,52.25,19.4396232916944
94.77,53.0171099000867,18.6
104.26,53.7797475312477,19.46
105.18,49.39,20.36
97.35,48.05,20.22
97.23,48.26,19.51
99.17,53.54,20.25
107.69,48.18,19.7229676026372
103.012305108355,50.81,19.12
94.31,48.74,18.8
104.87,49.73,19.2574198495683
98.06,49.6968723069294,19.79
95.34,46.03,22.636728847086
97.66,50.69,19.54
102.66,50.76,21.22
105.88,49.53,20.117902669837
93.54,51.05,19.29
98.38,46.79,21.27
100.53,50,21.13
95.67,49.64,20.4300310051679
97.19,49.9,19.04
103,50.00984757384,19.39
100.57,50.5456542079998,19.98
92.52,49.04,19.92
107.05,51.5587167834151,18.97
106.53,48.55,19.2
101.21,47.61,21.39
101.09,48.28,20.04
95.61,46.3,20.31
97.3154318815185,48.71,19.51
93.28,48.08,19.64
97.1852970043807,52.03,20.69
107.5,53.92,20.63
99.77,51.74,19.6
102.35,50.55,21.22
95.62,49.79,20.78
102.23,50.3152616586193,18.7383089244432
94.82,48.48,21.3
100.51,47.9553119326091,21.52
99.31,51.24,19.8
103.06,50.89,18.9303903021385
100.34,49.195431302727,21.17
102.66,53.19,18.8222955881037
104.17,47.09,19.51
100.51,51.24,21.17
100.37,48.53,21.39
102.67,49.53,20.9051117928873
97.757182449657,46.31,18.39
95.57,51.02,20.7480291371643
105.54,48.57,20.95
101.53,46.05,18.2
96.09,51.1737470019019,20.999834504173
99.45,46.21,18.51
102.67,49.53,19.69
102.5,50.1171395246378,19.63
95.37,52.25,21.51
94.77,49.24,18.6
100.378105926682,49.39,20.36
97.35,48.05,20.22
97.72,50.02,19.26
103.53,49.1256376818073,19.61
101.1,53.64,20.2
93.05,49.16,20.14
107.58,49.13,19.19
107.06,48.67,19.42
101.74,47.73,21.61
96.6118576206445,48.4,20.26
99.337381678746,46.42,20.53
93.81,49.654679755897,19.86
102.88,50.67,21.44
103.25,52.0893318498358,20.48
98.58,51.78,21.36
107.15,51.02,21.48
96.731266411275,49.04,21.75
100.23,50.03,20.02
100.08,48.8,20.45
100.67,48.35,20.16
99.49,48.44,20.68
100.08,50.55,21.7915266419828
101.14,50.16,20.28
101.59,49.66,20.23
100.000668084462,48.99,20.32
97.8741269874305,48.19,20.81
100.49,48.36,20.27
99.53,48.55,20.71
100.61,49.69,20.98
99.53,48.54,20.21
99.08,48.88,20.43
104.641736513575,53.077640092957,19.51
98.27,52.28,20.24
99.07,52.07,19.5197495008248
95.72,48.36,19.58
99.65,52.61,18.66
102.3,47.13,21.19
94.47,50.04,20.76
98.32,48.32,20.7273207415909
98.68,51.72,19.29
94.9461372284589,52.87,19.5732330462282
101.41,51.4,21.32
98.4440778711243,50.53,19.5624770368537
94.52,51.11,19.44728620407
102.7,47.06,21.06
98.62,49.7674453208122,19.75
101.05,50.61,19.8661907627948
97,51.93,18.61
100.5,48.5987094490962,19
98.51,49.94,20.6
95.33,47.09,21.47
97.65,51.93,21.66
100.03,52.76,20.45
96.89,50.69,20.42
95.55,47.13,21.1
97.13,49.06,21.21
96.4,47.71,18.72
92.904281743921,48.89,20.2
94.64,49.5929038631343,21.63
100.44,50.84,20.57
102.13,47.400056980191,19.3
103.63,50.62,20.5712724436223
100.65,52.62,19.32
96.66,50.58,20.0389242001022
102.78,52.22,21.71
97.79,47.34,20.73
100.26,51.4578861149739,18.55
100.776175634845,48.01,18.7
103.24,51.5,21.02
100.682416210285,50.97,20.08
99.6427970747888,51.51,19.12
103.01,50.76,20.57
99.55,48.08,19.28
101.82,49.56,21.7
101.47,50.82,18.79
109.386224850176,48.4,19
99.2063880787866,51.11,18.8977499550516
101.12,47.64,20.9595507548508
96.46,48.73,19.36
99.98,52.6,20.36
94,52.64,19.68
102.19,49.57,19.19
101.379013342205,51.09,20.48
96.92,48.4842731972431,18.56
102.969038957241,50.44,20.71
97.27,52.03,21.3411583847957
97.07,52.54,21.33
94.09,48.89,18.63
98.7,52.57,18.947722620003
99.42,48.71,19.94
95.9,49.08,19.46
99.72,47.48,20.65
95.2,48.9274877484472,18.78
102.24,47.75,19.45
95.31,52.09,19.93
96.07,52.25,20.0172065528938
98.84,51.99,21.14
95.78,49.3462390199181,19.19
103.321580781298,48,20.93
98.69,47.05,20.74
96.14,47.96,21.97
99.34,48.43,20.5204826233429
91.1165388696793,51.4,18.9
97.97,48.91,19.18
100.25,47.87,19.01
103.28,50.2936770288443,18.57
94.42,49.8037215721259,21.8047972560229
96.41,48.91,21.24
95.82,48.23,20.02
96.74,50.7,21.66
103.68,52.0468384299773,20.19
102.73,52.35,19.03
103.06,51.33,20.31
101.299082786428,48.45,20.91
96.917894260657,52.55,19.15
100.84,48.86,21.3914349624442
102.145775157991,50.02,19.9
97.09,51.34,21.38
98.93,52.66,21.13
102.7,51.0166342475442,19.289663287486
98.19,49.37,18.58
97.05,48.22,20.47
94.76,49.77,19.28
99.96,47.8,19.06
98.2667127940215,52.74,19.44
93.6968563807903,47.24,21.345817329835
97.63,52.96,21.08
97.85,49.8739494922322,19.04
99.07,48.91,20.17
98.38,45.3329524735829,18.5834779932289
94.29,50.49,20.0700816060222
101.487093801559,50.08,20.12
99.69,50.98,19.6614810418044
100.59,47.46,20.7481082389808
103.02,52.04,20.43
101.31,49.8559808898695,21.53
98.86,47.46,18.64
103.54,47.85,20.01
99.46,51.89,19.77
97.98,50.05,21.39
100.827784623947,52.13,20.78
97.5969603107578,47.6,21.39
102.174718862529,55.3063295561264,19.87
98.77,49.23,21.15
99.95,51.93,19.75
97.315496734175,48.97,21.65
99.72,49.44,19.97
103.119450511467,52.92,19.56
95.02,50.35,19.217053992873
103,48.59,18.91
102.69,47.55,19.99
97.04,51.01,20.69
99.13,50.81,19.51
98.08,50.29,21.91
103.38,47.05,18.4187588457392
99.76,50.37,18.6
96.38,51.29,19.79
95.15,49.77,18.81
103.74,50.23,19.03
95.75,52.17,20.67
101.95,50.22,18.78
103.46,51.16,20.79
94.81,47.79,18.99
101.85,49.87,20.97
102.1,52.19,18.62
98.03,47.68,19.018776051064
98.36,51.88,21.84
101.53,47.35,20.63
102.68,52.8,20.7449193689567
94.1,50.48,21.02
98.261917965814,51.61,20.48
97.91,49.17,19.69
97.7605888547538,53.2447464338247,19.35
100.84,52.46,20.85
102.06,52.35,19.09
96.17,49.11,21.93
94.47,51.05,18.78
97.18,47.98,20.4458742232658
95.85,47.31,21.07
98.7449189612813,48.3,19.17
96.61,47.5027018630553,20.57
101.33,48.47,20.42
94.19,52.43,18.87
101.38,47.03,20.15
102.34,47.06,20.21
97.87,50.65,21.6
102.87,49.8634749856475,21.11
102.43,53,18.88
99.4148562272142,50.9501216347203,20.99
96.81,47.56,21.36
101.53,47.96,21.56
99.873379168627,47.55,19.69
100.99,52.4,20.0661472783548
