Length,Width,Height
102.67,49.53,19.69
102.5,51.42,19.63
95.37,52.25,19.7317785162474
94.77,48.1600581734639,18.6
104.26,48.3952030715698,19.46
105.18,49.39,20.36
97.35,48.05,20.22
97.23,48.26,19.51
99.17,53.54,20.25
107.69,48.18,20.6092996490754
96.7207509151375,50.81,19.12
94.31,48.74,18.8
104.87,49.73,20.7690376062352
98.06,48.8651490494207,19.79
95.34,46.03,19.6502975502983
97.66,50.69,19.54
102.66,50.76,21.22
105.88,49.53,18.7394104094561
93.54,51.05,19.29
98.38,46.79,21.27
100.53,50,21.13
95.67,49.64,21.5627649357085
97.19,49.9,19.04
103,52.9638582203138,19.39
100.57,47.7036630454442,19.98
92.52,49.04,19.92
107.05,54.3935127706592,18.97
106.53,48.55,19.2
101.21,47.61,21.39
101.09,48.28,20.04
95.61,46.3,20.31
101.26639830229,48.71,19.51
93.28,48.08,19.64
100.320490675133,52.03,20.69
107.5,53.92,20.63
99.77,51.74,19.6
102.35,50.55,21.22
95.62,49.79,20.78
102.23,50.5002621194957,17.7779607803936
94.82,48.48,21.3
100.51,51.6952863375864,21.52
99.31,51.24,19.8
103.06,50.89,19.7893983785356
100.34,51.1745551187883,21.17
102.66,53.19,22.8073511525084
104.17,47.09,19.51
100.51,51.24,21.17
100.37,48.53,21.39
102.67,49.53,20.0471064010425
98.7498954120412,46.31,18.39
95.57,51.02,19.0458033993578
105.54,48.57,20.95
101.53,46.05,18.2
96.09,49.995050728308,19.7211109652441
99.45,46.21,18.51
102.67,49.53,19.69
102.5,50.1461701083904,19.63
95.37,52.25,21.51
94.77,49.24,18.6
102.241735801091,49.39,20.36
97.35,48.05,20.22
97.72,50.02,19.26
103.53,47.1110694012456,19.61
101.1,53.64,20.2
93.05,49.16,20.14
107.58,49.13,19.19
107.06,48.67,19.42
101.74,47.73,21.61
94.9526177315848,48.4,20.26
100.944227221238,46.42,20.53
93.81,53.1344259999893,19.86
102.88,50.67,21.44
103.25,52.8310822119351,20.48
98.58,51.78,21.36
107.15,51.02,21.48
99.4586636132662,49.04,21.75
100.23,50.03,20.02
100.08,48.8,20.45
100.67,48.35,20.16
99.49,48.44,20.68
100.08,50.55,20.0782419243148
101.14,50.16,20.28
101.59,49.66,20.23
98.2179153138666,48.99,20.32
96.0189613969385,48.19,20.81
100.49,48.36,20.27
99.53,48.55,20.71
100.61,49.69,20.98
99.53,48.54,20.21
99.08,48.88,20.43
95.2338228136102,50.6318013190723,19.51
98.27,52.28,20.24
99.07,52.07,19.9426465054716
95.72,48.36,19.58
99.65,52.61,18.66
102.3,47.13,21.19
94.47,50.04,20.76
98.32,48.32,20.4146955632187
98.68,51.72,19.29
102.772951291365,52.87,19.9349843841965
101.41,51.4,21.32
105.564467128047,50.53,21.6711769426655
94.52,51.11,19.5682847790141
102.7,47.06,21.06
98.62,48.8467622060629,19.75
101.05,50.61,20.0147907296061
97,51.93,18.61
100.5,49.6280789521117,19
98.51,49.94,20.6
95.33,47.09,21.47
97.65,51.93,21.66
100.03,52.76,20.45
96.89,50.69,20.42
95.55,47.13,21.1
97.13,49.06,21.21
96.4,47.71,18.72
95.6788916029085,48.89,20.2
94.64,52.5521864096454,21.63
100.44,50.84,20.57
102.13,49.0523937725393,19.3
103.63,50.62,19.9109542489425
100.65,52.62,19.32
96.66,50.58,20.8900178464431
102.78,52.22,21.71
97.79,47.34,20.73
100.26,46.3059004232207,18.55
100.727492254635,48.01,18.7
103.24,51.5,21.02
108.122227858442,50.97,20.08
99.0444068643405,51.51,19.12
103.01,50.76,20.57
99.55,48.08,19.28
101.82,49.56,21.7
101.47,50.82,18.79
99.5710294569207,48.4,19
100.515257972629,51.11,20.0227543393963
101.12,47.64,19.837795644101
96.46,48.73,19.36
99.98,52.6,20.36
94,52.64,19.68
102.19,49.57,19.19
96.0244260570627,51.09,20.48
96.92,48.8440330707858,18.56
95.7866814502145,50.44,20.71
97.27,52.03,19.5211581592968
97.07,52.54,21.33
94.09,48.89,18.63
98.7,52.57,19.5645736057314
99.42,48.71,19.94
95.9,49.08,19.46
99.72,47.48,20.65
95.2,50.8052799084739,18.78
102.24,47.75,19.45
95.31,52.09,19.93
96.07,52.25,20.8845585064786
98.84,51.99,21.14
95.78,51.0197081502061,19.19
103.135962736871,48,20.93
98.69,47.05,20.74
96.14,47.96,21.97
99.34,48.43,20.7055064151084
104.323931604029,51.4,18.9
97.97,48.91,19.18
100.25,47.87,19.01
103.28,49.6505116881365,18.57
94.42,49.1298636798712,19.6934965386499
96.41,48.91,21.24
95.82,48.23,20.02
96.74,50.7,21.66
103.68,47.2409680109892,20.19
102.73,52.35,19.03
103.06,51.33,20.31
105.255229968323,48.45,20.91
99.4000140637228,52.55,19.15
100.84,48.86,21.9791549038143
97.8036959755913,50.02,19.9
97.09,51.34,21.38
98.93,52.66,21.13
102.7,48.9518426942577,19.9733739727258
98.19,49.37,18.58
97.05,48.22,20.47
94.76,49.77,19.28
99.96,47.8,19.06
100.473580876697,52.74,19.44
98.0926934157945,47.24,19.2868414198037
97.63,52.96,21.08
97.85,50.2735402229699,19.04
99.07,48.91,20.17
98.38,48.4799722158384,20.2430133489688
94.29,50.49,19.0637897340225
99.3438673867666,50.08,20.12
99.69,50.98,20.7302504241183
100.59,47.46,20.2312242229712
103.02,52.04,20.43
101.31,53.5718775283183,21.53
98.86,47.46,18.64
103.54,47.85,20.01
99.46,51.89,19.77
97.98,50.05,21.39
96.7213517624212,52.13,20.78
97.4644502573812,47.6,21.39
97.9895447223655,50.6700240425007,19.87
98.77,49.23,21.15
99.95,51.93,19.75
96.268703646213,48.97,21.65
99.72,49.44,19.97
99.1185396247938,52.92,19.56
95.02,50.35,20.6786223958811
103,48.59,18.91
102.69,47.55,19.99
97.04,51.01,20.69
99.13,50.81,19.51
98.08,50.29,21.91
103.38,47.05,18.214508016126
99.76,50.37,18.6
96.38,51.29,19.79
95.15,49.77,18.81
103.74,50.23,19.03
95.75,52.17,20.67
101.95,50.22,18.78
103.46,51.16,20.79
94.81,47.79,18.99
101.85,49.87,20.97
102.1,52.19,18.62
98.03,47.68,17.9959502263264
98.36,51.88,21.84
101.53,47.35,20.63
102.68,52.8,20.6431247081142
94.1,50.48,21.02
97.0729063464834,51.61,20.48
97.91,49.17,19.69
92.0390386424038,48.7879968718179,19.35
100.84,52.46,20.85
102.06,52.35,19.09
96.17,49.11,21.93
94.47,51.05,18.78
97.18,47.98,18.409332148335
95.85,47.31,21.07
99.8990963604025,48.3,19.17
96.61,48.4736692768275,20.57
101.33,48.47,20.42
94.19,52.43,18.87
101.38,47.03,20.15
102.34,47.06,20.21
97.87,50.65,21.6
102.87,53.5716244732676,21.11
102.43,53,18.88
100.418837816513,49.4340112134254,20.99
96.81,47.56,21.36
101.53,47.96,21.56
100.393153707634,47.55,19.69
