Length,Width,Height
,47.9,
,,19.12
98.06,,
,50.76,
103.0,,
,49.04,
,,20.54
,,19.63
,49.24,
,48.67,
101.74,47.73,
101.67,49.04,
,48.44,
,,20.43
,,19.51
,,19.08
101.41,,
101.05,,
97.79,,
,51.51,
,50.76,
,49.56,
94.09,48.89,
,,18.9
102.73,,
,,19.28
94.07,,
99.07,,
99.46,,
,,19.79
103.74,,
,,19.08
,52.8,
,48.3,
97.87,,
,47.96,
,49.4,20.3
100.59,,
103.0,,20.83
99.53,,
,52.01,
,,21.83
,,21.43
,50.81,
,,21.59
,47.96,
102.68,,
,,21.86
,,21.55
94.86,,
,,20.82
98.04,,
,,18.98
,,19.3
,52.12,
